FID_1,BOROCODE,BORONAME,COUNTYFIPS,NTACODE,NTANAME,SHAPE_LENG,SHAPE_AREA,SUM_TOTAL_POP,COUNT_CONSTRUCTIONNOISE,COUNT_subwaystops,COUNT_SHOOTINGS,Shootings_Weighted_Pop,COUNT_SAT,AVG_TOTAL_SCORE,STDDEV_TOTALSCORE,AVG_MATH,VAR_MATH,AVG_LOTARE,AVG_FAR,AVG_ASSESSEDVAL_TOTAL,COM_FAR,RESI_FAR,OFFICE_FAR,RETAIL_FAR,GARG_FAR,STRG_FAR,FACT_FAR,AVG_UNITSTOTAL,AVG_PERCENT_OCC,AVG_MEDIAN_HHINCOME,AVG_MEANHH_HHINCOME,AVG_PCT_POVERTY,COUNT_GRAFFITI,COUNT_DIRTY,COUNT_DERELICTVEHICLES,AVG_MEDHOME_VAL,AVG_MED_GROSS_RENTAL,Rent_pct_inc
34,4,Queens,81,QN12,Hammels-Arverne-Edgemere,83828.28529,61904806.86,23366,4,25,33,64.64039698,0,0,0,0,0,18695.80727,0.211631335,118016.838,0.032212817,0.179418518,0.001820864,0.0049024,0.001474,0.000604913,0.002282372,3.355053,90.441667,42160,54345.83333,27.36,3,150,70,350116.6667,891.416667,0.253722404
35,2,Bronx,5,BX98,Rikers Island,18914.62682,18154387.88,2325,0,0,0,0,0,0,0,0,0,17825000,0.308673604,33185.81904,0.308673604,0,0,0,0,0,0,1,23.3,19199,23398.5,0.8,0,0,0,135025,343.5,0.214695887
36,2,Bronx,5,BX27,Hunts Point,44778.61899,49734670.45,22714,2,11,5,12.78887819,4,1103.25,74.04221769,373.25,323.583333,22662.79718,0.587119097,47788.14027,0.361073429,0.22756846,0.039240647,0.019463866,0.022286457,0.136227643,0.071651315,6.182486,93.241176,22884,33170.29412,43.41,15,66,12,315911.7647,809.882353,0.424681584
37,5,Staten Island,85,SI36,Old Town-Dongan Hills-South Beach,41963.90021,67010738.14,21561,8,6,5,10.56747332,0,0,0,0,0,9819.77333,0.210092122,1425680.671,0.046770103,0.163248875,0.009277546,0.008417512,0.00123566,0.000711638,0.000227316,1.364854,95.125,63815,83015.25,12.58,3,103,26,506000,960.75,0.180661674
38,4,Queens,81,QN54,Richmond Hill,33791.5704,50978897.75,34345,17,11,7,27.00439409,1,1161,0,401,0,3559.526573,0.83030072,699882.598,0.270253953,0.560046767,0.022066005,0.035589116,0.019505239,0.02477482,0.035192994,2.000208,93.668293,54157,64583.97561,12.86,12,414,161,482585.3659,1147.146341,0.254182626
39,2,Bronx,5,BX63,West Concourse,28550.69484,19369213.37,41310,1,30,3,5.869223039,2,1130,67.88225099,371,800,21854.60353,1.710833263,160021.0125,0.742031937,0.968801325,0.119605729,0.133571882,0.201147846,0.071571214,0.039057266,23.091493,95.954545,29844,37531.63636,31.52,9,89,8,170059.0909,867.863636,0.34896111
40,4,Queens,81,QN28,Jackson Heights,29422.79229,47854895.9,62375,48,7,1,1.94540634,0,0,0,0,0,3896.889414,1.379450067,3742564.507,0.208212692,1.171237376,0.040871348,0.073555092,0.017081441,0.00274203,0.000114979,4.858971,88.057143,47409,59337,15.8,37,383,69,409514.2857,1168.028571,0.295647478
41,3,Brooklyn,47,BK42,Flatbush,38737.85262,45254811.4,69641,34,17,0,0,1,1527,0,543,0,5277.41913,1.684788415,3974140.473,0.286522002,1.398617473,0.024423532,0.062816278,0.008852153,0.002261942,0.001368917,7.103304,91.85098,44255,60053.88235,20.55,20,317,74,514235.2941,1000.647059,0.271328851
42,1,Manhattan,61,MN12,Upper West Side,29158.13258,34381053.12,95955,355,34,1,1.235417659,1,1205,0,407,0,8843.312893,3.417441562,70135.41473,0.515956964,2.89981628,0.024402371,0.104587715,0.049581827,0.004920216,0,24.636164,87.195238,85742,149814.6667,9.98,5,329,10,481171.4286,1380.52381,0.193211506
43,1,Manhattan,61,MN14,Lincoln Square,19866.05358,15805667.76,64690,134,16,0,0,7,1354.714286,264.1506605,455.285714,7964.238095,15141.47109,4.431157067,68919.13534,1.237402856,3.221136217,0.30772732,0.167045157,0.159810676,0.013382917,0,47.988223,79.914286,92055,163396.0714,10.17,4,94,10,462114.2857,974.142857,0.126985802
44,2,Bronx,5,BX34,Melrose South-Mott Haven North,19596.17495,17269793.87,36870,18,12,10,20.55478339,5,1149,136.7205178,381.8,1991.2,7086.126897,1.944444583,122966.4547,0.71869652,1.225748063,0.352561094,0.131301565,0.053255585,0.031959795,0.0114319,9.98725,93.647619,21914,32490.33333,37.35,8,89,14,240347.619,650.285714,0.356091752
45,3,Brooklyn,47,BK79,Ocean Hill,22496.51421,20078419.06,38051,6,12,1,2.920499822,2,1080,86.2670273,350.5,924.5,3125.179443,1.35151869,414550.537,0.288411353,1.063107337,0.076680435,0.050590704,0.019609188,0.009608448,0.015715573,3.829766,89.664286,32090,41250.10714,30.64,27,185,30,458610.7143,822.785714,0.307683404
46,1,Manhattan,61,MN09,Morningside Heights,20744.3137,20158317.13,45306,52,14,6,10.82240808,0,0,0,0,0,18978.02908,3.338404226,3570905.467,1.796787369,1.541616858,0.213929595,0.05531428,0.03538432,0.008283849,0.005983564,32.510746,88.257895,46060,69426.10526,19.93,3,160,9,472263.1579,976.210526,0.254331006
47,4,Queens,81,QN50,Elmhurst-Maspeth,32354.70226,21932204.49,35870,11,3,0,0,1,1178,0,427,0,3898.316012,0.939072817,11971563.29,0.305636283,0.633436533,0.015617501,0.037503141,0.093148715,0.021526468,0.042478099,2.647275,94.065217,46259,57829.26087,14.13,14,87,33,447078.2609,1181.26087,0.306429101
48,2,Bronx,5,BX55,Soundview-Bruckner,19755.3055,16260511.41,33880,9,5,5,11.39496017,0,0,0,0,0,4864.282993,1.307253855,517552.4337,0.199202288,1.108051567,0.008885609,0.054508352,0.012569239,0.015150645,0.00477649,5.799721,91.861905,33330,41441.80952,27.25,13,347,6,333628.5714,884.47619,0.318440088
49,2,Bronx,5,BX31,Allerton-Pelham Gardens,25462.68489,31684499.1,22488,8,2,3,11.01198551,0,0,0,0,0,3720.293494,0.697789349,61550.14509,0.111738378,0.586050971,0.052395325,0.02813909,0.003614009,0.001200003,0.000923249,3.247259,93.873913,57823,65869.08696,14.29,5,145,51,407860.8696,1099.26087,0.228130844
50,3,Brooklyn,47,BK27,Bath Beach,22383.26715,20538896.97,25946,12,0,2,7.233159319,0,0,0,0,0,3409.079769,1.057017305,119922.7649,0.146656678,0.910360627,0.033606827,0.046870987,0.006884851,0.008547104,0.003529864,3.230123,84.882609,41397,56458.91304,13.17,3,98,31,581069.5652,1011.304348,0.293153246
51,4,Queens,81,QN06,Jamaica Estates-Holliswood,35446.88322,42789517.09,23802,14,8,0,0,2,1478,132.9360749,511,882,8272.888208,0.448726602,145408.4494,0.06097947,0.387747132,0.010460063,0.017263449,0.002904213,0.000402132,0,2.485658,94.908696,66072,82926,9.3,4,134,33,506778.2609,1134,0.205958222
52,4,Queens,81,QN07,Hollis,20976.33588,22887772.8,19258,4,0,2,8.034373144,0,0,0,0,0,4139.995967,0.575874289,26808401.88,0.078011996,0.497862294,0.004142656,0.023359245,0.00272975,0.001103487,0.003429708,1.895671,93.213043,69163,79019,9.98,2,121,37,434100,1131.26087,0.196278585
53,4,Queens,81,QN47,Ft. Totten-Bay Terrace-Clearview,39637.6625,46297599.51,21231,3,0,0,0,0,0,0,0,0,17363.76587,0.321578017,471368.3803,0.039215597,0.28236242,0.002158783,0.009828372,0.005374762,0.000113869,0,4.242873,87.738462,73178,91991.76923,4.03,3,51,28,503346.1538,1332.076923,0.218437539
54,1,Manhattan,61,MN36,Washington Heights South,22096.3048,23100222.65,46819,80,28,4,6.17409318,1,1059,0,384,0,15961.39801,2.120178602,45932.06991,0.70128758,1.418891022,0.044659312,0.065836407,0.045847004,0.000489483,0.001400629,24.873186,91.547368,35140,50136.78947,24.98,12,204,16,263326.3158,934.631579,0.319172741
55,3,Brooklyn,47,BK58,Flatlands,40635.27537,54341763.55,42956,30,0,1,4.213169163,0,0,0,0,0,3028.362729,0.86148825,293847.5543,0.147399674,0.714088576,0.023143296,0.040463188,0.015537523,0.019424461,0.00859135,1.982277,90.861224,64327,74178.46939,9.74,7,213,261,466716.3265,1100.571429,0.205307821
56,3,Brooklyn,47,BK82,East New York,88841.25114,117153531.4,64509,13,25,7,20.51335091,3,1206.666667,87.99052979,404.333333,1122.333333,7501.679568,0.569645459,108250.9402,0.204094462,0.365550997,0.040857681,0.026990761,0.017460124,0.038209698,0.051474822,3.86449,89.735294,38094,48012.17647,27.82,64,367,131,413635.2941,961.54902,0.302900124
57,1,Manhattan,61,MN04,Hamilton Heights,17410.82346,16093787.99,33754,40,12,3,5.533966255,1,1794,0,627,0,5937.837586,2.348571096,2230736.152,0.266812931,2.081758165,0.026007574,0.081751668,0.016114054,0.003978682,0,13.756067,91.973333,30753,49137.8,26.07,14,175,10,235633.3333,810.133333,0.316114641
58,2,Bronx,5,BX30,Kingsbridge Heights,21306.51986,13167198.07,33722,9,3,2,3.956396348,0,0,0,0,0,11782.783,1.619137899,72872.49844,0.458962267,1.160175633,0.312611115,0.059540543,0.023246837,0.020857564,0.00030566,15.148477,90.626316,30445,40035.1579,28.04,16,53,5,228042.1053,879.736842,0.346748862
