FID_1,BOROCODE,BORONAME,COUNTYFIPS,NTACODE,NTANAME,SHAPE_LENG,SHAPE_AREA,SUM_TOTAL_POP,COUNT_CONSTRUCTIONNOISE,COUNT_subwaystops,COUNT_SHOOTINGS,Shootings_Weighted_Pop,COUNT_SAT,AVG_TOTAL_SCORE,STDDEV_TOTALSCORE,AVG_MATH,VAR_MATH,AVG_LOTARE,AVG_FAR,AVG_ASSESSEDVAL_TOTAL,COM_FAR,RESI_FAR,OFFICE_FAR,RETAIL_FAR,GARG_FAR,STRG_FAR,FACT_FAR,AVG_UNITSTOTAL,AVG_PERCENT_OCC,AVG_MEDIAN_HHINCOME,AVG_MEANHH_HHINCOME,AVG_PCT_POVERTY,COUNT_GRAFFITI,COUNT_DIRTY,COUNT_DERELICTVEHICLES,AVG_MEDHOME_VAL,AVG_MED_GROSS_RENTAL,Rent_pct_inc
92,2,Bronx,5,BX14,East Concourse-Concourse Village,27275.79206,18232621.98,47843,7,5,5,10.39323549,9,1159.111111,78.2567001,392.444444,943.777778,7347.63038,2.389035525,20291968.25,0.678375858,1.710659667,0.269102688,0.077436315,0.072532986,0.013718622,0.019969324,14.14557,92.064286,24133,32012.03571,33.15,12,158,3,220714.2857,791.571429,0.393610897
93,4,Queens,81,QN26,North Corona,18431.05938,18000867.96,24189,5,8,0,0,0,0,0,0,0,3706.121341,0.936511396,636123.999,0.179423557,0.759667535,0.023403457,0.068431235,0.008388572,0.005371838,0.008026197,3.283463,91.43,45486,56783,19.85,10,306,39,536805,1190.45,0.314058708
94,1,Manhattan,61,MN19,Turtle Bay-East Midtown,21638.78121,17397872.04,62815,239,20,0,0,1,1268,0,423,0,9074.027778,9.478482993,242842.1149,5.810713981,3.667769013,4.504657497,0.346632951,0.210736759,0.045622292,0,39.022876,76.247619,85468,134935.4286,5.03,1,98,19,426895.2381,725.428571,0.1018526
95,1,Manhattan,61,MN31,Lenox Hill-Roosevelt Island,37707.54162,21500080.72,95397,146,3,0,0,5,1400.8,216.9025127,473.6,5460.3,11740.13383,4.23650307,69623.74847,1.284384388,2.952118681,0.370915894,0.185669403,0.134992603,0.028998548,0.001067415,45.356134,86.926316,102932,174486.3684,6.95,4,137,6,412089.4737,1457.210526,0.169883736
96,4,Queens,81,QN37,Kew Gardens Hills,33109.32204,37891124.38,31354,14,0,0,0,2,1600.5,456.0838739,533,24642,8774.699691,0.570183434,6356699.756,0.147464967,0.422718468,0.02006801,0.011110936,0.004594112,0.000136221,0,3.547161,95.8,52377,63876.7,11.39,4,127,32,371645,1041.3,0.238569909
97,4,Queens,81,QN38,Pomonok-Flushing Heights-Hillcrest,30731.59202,38835956.88,28485,12,0,3,7.919447902,0,0,0,0,0,6469.351929,0.704110037,8400518.19,0.233698822,0.470769668,0.018051102,0.016325196,0.009824712,0.000270875,0.00011989,2.591871,95.2,64455,79899.04762,11.09,2,139,44,535285.7143,1140.047619,0.212249337
98,3,Brooklyn,47,BK73,North Side-South Side,28145.42884,28868408.35,54125,160,16,0,0,4,1125.5,51.00653553,378.75,216.25,5967.644979,1.67411897,5163179.587,0.503018232,1.171114816,0.071930649,0.115941481,0.046945658,0.059875733,0.135907042,8.313437,91.637931,44885,63184.41379,26.63,91,268,89,547127.5862,1072.172414,0.286645402
99,1,Manhattan,61,MN28,Lower East Side,25469.23579,23297615.81,66974,116,5,1,1.698201322,4,1497,347.7307388,508.75,10144.25,16529.71986,1.986281319,123046.8389,0.364193144,1.622088175,0.022935639,0.053080353,0.013111029,0.009958261,0.000243061,34.120567,92.9625,46185,68219.66667,23.04,35,188,32,454166.6667,955.708333,0.248318793
100,2,Bronx,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,67150.47785,51958970.62,29026,3,0,9,24.66552059,7,1132.857143,57.34814316,378.714286,332.904762,10930.28596,0.591265438,238386.1075,0.13404702,0.457218418,0.016309418,0.024785986,0.013022027,0.016144106,0.013351149,4.888753,92.327273,35895,47252.86364,23.24,4,123,73,333881.8182,811.5,0.271293671
101,3,Brooklyn,47,BK76,Greenpoint,29054.4234,35337582.96,36572,67,11,1,2.956414011,2,1151.5,13.43502884,415,338,5304.535662,1.063975744,608311.8233,0.459762147,0.604995697,0.050042902,0.049285459,0.017169831,0.062525069,0.201590019,4.16178,91.119048,60011,76525.42857,13.46,50,158,42,614828.5714,1166.761905,0.233310903
102,2,Bronx,5,BX29,Spuyten Duyvil-Kingsbridge,27990.45943,23220349.4,30486,21,9,0,0,1,1227,0,411,0,13249.46568,1.276591968,106376.4215,0.265369722,1.016031377,0.037191798,0.068521528,0.061538819,0.002792448,0.000759457,12.482059,88.389474,55897,71423.57895,11.81,17,92,11,277594.7368,979.263158,0.210228182
103,3,Brooklyn,47,BK33,Carroll Gardens-Columbia Street-Red Hook,60784.8841,44615921.64,28682,94,6,1,3.302564441,3,1134,7.211102551,383,189,6571.239278,0.911797398,90508.07697,0.386700037,0.52488202,0.055763864,0.043523581,0.021133792,0.046542778,0.098039208,3.914596,88.815,74921,105645.15,10.26,10,138,32,464100,1343.4,0.215172082
104,3,Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32366.18473,28461456.5,54507,177,44,3,8.420587059,8,1175.125,69.4703174,390.125,828.696429,9336.116679,2.20231246,119513.5109,1.434923008,0.767623849,0.565618814,0.172344596,0.085248849,0.132632852,0.061389677,9.012436,90.857576,59494,85300.06061,17.41,29,303,23,422403.0303,1031.454545,0.208044154
105,5,Staten Island,85,SI99,park-cemetery-etc-Staten Island,46186.20678,24000715,5028,0,0,0,0,0,0,0,0,0,3349017.333,0.00056529,83958.76573,0.00056529,0,0,0,0,0,0,0.166667,70.6,58174,69860,2.65,0,1,0,346825,884.25,0.182401857
106,3,Brooklyn,47,BK34,Sunset Park East,25948.76802,27125857.41,41203,29,4,0,0,1,1126,0,382,0,3021.611456,1.426628052,614102.1024,0.332152324,1.093665999,0.093255511,0.088206764,0.023540163,0.01073598,0.043208803,3.680124,90.818182,34022,47223,27.8,108,177,38,571860.6061,991.030303,0.34954642
107,1,Manhattan,61,MN01,Marble Hill-Inwood,31843.10984,17725321.26,29463,50,20,1,1.975643142,5,1189.6,35.5569965,408,296,28027.92468,0.935991341,179852.8619,0.184721388,0.751269953,0.015364315,0.045255516,0.01991613,0.031269279,0.002536107,25.272727,85.464286,37740,47456.78571,17.61,22,104,7,177085.7143,861.071429,0.273789561
108,1,Manhattan,61,MN35,Washington Heights North,26623.87372,22662313.15,43581,43,12,1,1.587791646,4,1142.5,33.9460356,391.25,319.583333,35125.11897,0.974057754,85072.80112,0.197977402,0.776080352,0.011953676,0.036443362,0.01514068,0.002119056,0.002498811,31.034792,86.866667,36821,49863.33333,21.83,6,173,7,253633.3333,927.111111,0.302149611
109,4,Queens,81,QN72,Steinway,42973.16066,57765988.64,32029,39,7,0,0,0,0,0,0,0,8890.011791,0.420797877,47199.56111,0.118212318,0.302585559,0.011246716,0.017178289,0.005853556,0.0164966,0.017646248,3.221926,77.415385,47093,57217.30769,11.43,36,172,41,543400,1083.192308,0.276013584
110,2,Bronx,5,BX39,Mott Haven-Port Morris,35601.1836,41903939.5,38400,8,26,4,9.341254717,5,1157.2,115.7009075,389.6,1208.8,12428.96191,1.19059204,223033.8162,0.500467847,0.690124192,0.0769144,0.039340799,0.029016566,0.107729149,0.17346258,9.375793,89.944,21668,31402.24,41.03,50,163,20,169468,602.12,0.333465635
111,1,Manhattan,61,MN03,Central Harlem North-Polo Grounds,28114.98323,25403425.41,55368,38,15,6,13.95336819,6,1230.333333,107.1814661,412.833333,1730.166667,6255.77533,2.686533361,45316.70189,0.584627761,2.101905599,0.046488261,0.081154965,0.025382654,0.015364539,0.006847124,15.340675,89.12963,31385,47547.66667,24.72,13,276,17,269400,719.296296,0.275022333
112,1,Manhattan,61,MN11,Central Harlem South,16619.29601,14436192.7,38829,69,18,5,12.42353609,2,1175,77.78174593,391.5,684.5,4589.335385,3.109800157,251722.0157,0.774077784,2.335722372,0.195890048,0.21990805,0.040826648,0.018138932,0.001583046,11.814872,86.004762,32617,49589.28571,24.55,21,222,14,396752.381,715.047619,0.263067072
113,2,Bronx,5,BX49,Pelham Parkway,25817.17279,23032562.05,30389,17,4,1,3.456796446,1,1214,0,403,0,5509.118306,1.399793361,154181.9937,0.406309069,0.993484292,0.061010065,0.044879895,0.045598957,0.009836065,0.008319578,5.346617,94.148148,54246,62129.74074,14.94,24,90,61,389055.5556,1090.740741,0.241289774
114,4,Queens,81,QN30,Maspeth,41260.37925,35632834.06,27842,6,0,0,0,0,0,0,0,0,4097.381107,0.724272154,1951677.485,0.271192756,0.453079398,0.01672086,0.021647308,0.007816027,0.068614001,0.106001684,1.894613,91.603448,51194,61844.62069,8.88,12,198,130,498572.4138,1101.241379,0.25813335
115,4,Queens,81,QN68,Queensbridge-Ravenswood-Long Island City,27067.65294,23317083.72,22092,32,14,0,0,0,0,0,0,0,9364.226128,1.113044483,53626.05788,0.673537889,0.439506594,0.150781051,0.038927204,0.050217977,0.118715707,0.198760017,9.817809,84.266667,38375,49625.16667,19.37,9,97,64,424938.8889,752.944444,0.235450812
116,4,Queens,81,QN63,Woodside,27872.05861,28246377.91,36174,25,11,0,0,0,0,0,0,0,4050.536034,1.217013897,719093.2698,0.309223217,0.90779068,0.041304989,0.060889809,0.029040718,0.049805461,0.071446555,4.174517,89.661538,47104,57665.65385,11.37,12,113,39,415011.5385,1110.423077,0.282887469
117,4,Queens,81,QN23,College Point,59485.12578,50626759.2,9883,16,0,0,0,0,0,0,0,0,9725.459521,0.373166832,46216.23036,0.167583412,0.20558342,0.029434766,0.011125557,0.010289404,0.012290438,0.067850248,1.857084,93.585714,64970,76991,9.27,18,138,69,578571.4286,1389.142857,0.256576691
118,3,Brooklyn,47,BK83,Cypress Hills-City Line,35597.56178,27609992.44,35814,4,7,0,0,0,0,0,0,0,3297.848198,0.851059792,2073056.161,0.153766121,0.697293671,0.01812942,0.046005649,0.011836368,0.015529949,0.013918423,2.28384,90.880556,39054,48606.63889,22.19,57,184,49,438077.7778,1060.416667,0.325827425
119,4,Queens,81,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,113896.8023,99530069.7,18033,14,10,4,14.69661978,1,1298,0,423,0,28718.32587,0.192828894,149214.2703,0.102794864,0.09003403,0.001478839,0.003007304,0.000271821,0.002576882,0.001062785,2.69788,68.8,50928,60992.28571,6.27,2,151,10,364871.4286,653,0.153864495
120,4,Queens,81,QN17,Forest Hills,36183.04029,57828033.5,57293,45,15,0,0,1,1421,0,491,0,5656.184579,1.264927039,49641.45809,0.180812453,1.084114586,0.046430268,0.045309702,0.033810573,0.001553293,7.00281E-05,5.757196,94.441667,63734,82892.25,7.81,13,259,29,380563.8889,1203.083333,0.2265194
121,4,Queens,81,QN19,Glendale,41377.06143,29970302.41,22759,13,0,0,0,0,0,0,0,0,6951.537086,0.405695158,161380.245,0.095537233,0.310157925,0.005334977,0.030921801,0.013876742,0.014946437,0.009211124,2.045804,90.457692,46429,59001.15385,10.67,5,132,72,454292.3077,1038.961538,0.268531566
122,5,Staten Island,85,SI45,New Dorp-Midland Beach,34339.06973,55434866.84,17556,9,7,3,6.715014773,2,1619.5,436.284884,559.5,25764.5,9734.364577,0.196763634,230518.8382,0.04523714,0.151401123,0.006099263,0.018341815,0.001132249,0.000690589,0.00010782,1.631633,94.49,75173,92351.6,7.35,3,111,16,508130,1228.7,0.196140615
123,4,Queens,81,QN98,Airport,134834.6499,227687833.4,14304,0,0,0,0,0,0,0,0,0,7280252.342,0.068306966,474367500,0.068306966,0,1.34755E-05,5.63312E-05,0.009678055,0,0,3.657895,67.290909,42059,48007.09091,7.11,0,0,2,298727.2727,924.454545,0.263762201
124,4,Queens,81,QN03,Springfield Gardens South-Brookville,45266.74227,43261498.2,19444,2,0,1,2.82847778,0,0,0,0,0,57507.6013,0.111646046,81913.62541,0.083762567,0.027920156,0.004365111,0.000597887,0.010857852,0.003506872,0.00439006,1.434296,87.888235,66604,73731.76471,6.21,2,91,58,384141.1765,1263.117647,0.227576705
125,4,Queens,81,QN25,Corona,23870.15453,20080371.7,33592,16,1,0,0,1,1098,0,372,0,4037.710779,1.316034729,51336.08149,0.232385514,1.083649214,0.060954687,0.038475776,0.036553464,0.005549931,0.020574771,4.72572,93.478261,44620,56489.52174,18.55,10,99,24,497286.9565,1197.391304,0.322021776
126,2,Bronx,5,BX22,North Riverdale-Fieldston-Riverdale,31856.09414,49046260.13,20016,15,0,0,0,1,1424,0,479,0,18959.42181,0.453486247,213819.2861,0.099258032,0.354228215,0.004417774,0.004117436,0.013240233,0.000194416,0,5.407407,86.006667,65736,85274.6,6.85,7,42,25,352900,1024.933333,0.187099535
127,4,Queens,81,QN31,Hunters Point-Sunnyside-West Maspeth,74586.27203,102393832.6,52475,82,52,1,3.310780411,8,1328.375,165.1094334,459,1971.714286,13158.87366,1.024045553,36955.98102,0.640026228,0.384069838,0.120070863,0.041668701,0.038030302,0.171837252,0.171201254,8.17434,88.446154,49669,60420.71795,11.99,36,227,50,420566.6667,978.974359,0.236520949
128,2,Bronx,5,BX28,Van Cortlandt Village,22003.83993,25673275.27,36054,13,6,0,0,9,1286.333333,382.6189358,435.777778,17746.19444,30357.52417,0.625209431,97025.85879,0.12531619,0.499893241,0.023467159,0.008431691,0.004346663,0.000693249,0,14.510574,95.661905,33093,42914,24.42,24,129,9,184019.0476,918.619048,0.333109334
129,4,Queens,81,QN05,Rosedale,63238.29441,61601440.71,16098,4,0,6,19.07032181,0,0,0,0,0,46651.73842,0.107715618,66921.52325,0.071619563,0.036096056,0.002125797,0.000924291,0.010277788,0.001365823,9.37682E-06,1.442768,89.35,79000,84312.8125,4.16,2,133,66,409487.5,1272.3125,0.193261588
130,4,Queens,81,QN57,Lindenwood-Howard Beach,78438.72827,63900926.86,22017,4,4,0,0,0,0,0,0,0,44364.03265,0.12277169,56232.55811,0.069086332,0.053685358,0.000688239,0.00210647,0.010309686,7.38918E-05,2.989E-06,1.862755,84.892308,49288,57324.46154,15.72,1,179,66,421223.0769,933.615385,0.227304154
131,2,Bronx,5,BX03,Eastchester-Edenwald-Baychester,59165.00512,40256749.49,41214,12,1,5,10.72201089,0,0,0,0,0,25047.01793,0.140481203,1268183.628,0.031806274,0.108674929,0.002247883,0.004404034,0.005646462,0.003332496,0.003379999,2.510305,94.434783,50549,58002.78261,13.12,3,137,81,353860.8696,980.521739,0.232771612
132,2,Bronx,5,BX13,Co-op City,30338.27627,39875760.03,30708,2,2,0,0,2,1118,35.35533906,375,162,33877.75235,0.732288545,2373702.683,0.223329817,0.508958728,0.043836413,0.055788154,0.087525145,0.010436682,0.005108863,14.721003,95.833333,46981,54100.5,11.29,0,79,48,308433.3333,866.916667,0.221432296
133,3,Brooklyn,47,BK31,Bay Ridge,44373.86636,67120694.2,48723,62,14,0,0,3,1288.333333,86.26316324,456.666667,1486.333333,6830.094813,0.71955285,228446.7979,0.119253995,0.60040395,0.036034238,0.033895583,0.006981589,0.00108432,0.000569901,4.014965,86.9625,52169,70447.425,13.65,88,286,92,514705,1113.35,0.256093388
134,3,Brooklyn,47,BK32,Sunset Park West,84583.61133,50067191.23,36624,27,20,0,0,1,1365,0,494,0,6693.883733,1.306110685,54784.60904,0.910543291,0.395335718,0.041743887,0.046775049,0.018077679,0.165454339,0.245173438,3.300635,90.478125,43582,56180.71875,18.92,65,158,35,539750,1039,0.286083461
135,1,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,24284.70044,24859568.52,58317,441,79,3,6.193284325,1,1181,0,412,0,6225.544574,5.920484801,71486.49282,3.872501844,2.048804568,2.436102604,0.556086988,0.101955696,0.263180982,0.047015948,13.800323,90.908696,89304,153645.2174,14.4,45,381,47,275739.1304,909.521739,0.122214871
136,1,Manhattan,61,MN25,Battery Park City-Lower Manhattan,45700.0068,19056256.58,41759,208,81,0,0,7,1417.142857,333.5188293,489.714286,15488.90476,28115.51191,7.41028408,218933.0099,5.690052716,1.721563816,4.413055142,0.256884424,0.067240764,0.049790402,0,53.018707,82.270588,91055,138235.9412,10.42,3,94,9,380764.7059,376.470588,0.049614583
137,1,Manhattan,61,MN15,Clinton,35037.17158,18381380.31,52144,276,13,0,0,9,1229.888889,131.5222837,418.666667,1493.5,10196.43836,3.942310031,66750.32395,2.064326113,1.88154385,0.743425182,0.228913668,0.293441908,0.219411156,0.027671964,29.875342,84.46875,62846,95105.25,16.16,0,189,76,454331.25,816.25,0.15585764
138,1,Manhattan,61,MN99,park-cemetery-etc-Manhattan,155007.5367,91524890.85,143944,15,6,1,2.094635638,0,0,0,0,0,3328030.643,0.06272224,134218.0157,0.060924104,0.001798135,0,0,3.21941E-05,0,0,11.285714,81.336667,66149,114730.9833,17.75,0,18,2,275926.6667,762.816667,0.138380626
139,4,Queens,81,QN35,Briarwood-Jamaica Hills,30081.93235,29408863.06,26326,11,11,1,2.775611626,0,0,0,0,0,5076.34952,0.925981566,215251.654,0.201266641,0.724785363,0.033334506,0.021938233,0.016154107,0.00110159,0.001404162,3.826539,94.480952,51326,63149.61905,12.69,4,221,39,465404.7619,1135.47619,0.265474164
140,4,Queens,81,QN60,Kew Gardens,21357.6182,20455799.66,22652,39,6,0,0,0,0,0,0,0,7264.025656,1.178235718,206091.8378,0.250248737,0.927986981,0.076238487,0.027938873,0.050355222,0.008199839,0,6.606802,93.97,58650,75935.45,9.5,9,62,9,381385,1055.5,0.215959816
141,4,Queens,81,QN22,Flushing,38378.32525,37867499.4,48713,44,10,2,4.078847255,2,1275.5,126.5721138,440,4050,14724.85154,0.994029854,97124.62057,0.385535369,0.611443804,0.077122177,0.103066784,0.049639936,0.013532661,0.030411851,11.117292,92.230769,43204,55887.57692,17.17,13,187,8,405565.3846,1144.730769,0.317952178
142,4,Queens,81,QN62,Queensboro Hill,30569.78866,26553148.43,26966,6,0,0,0,0,0,0,0,0,6173.124249,0.351675901,573619.1747,0.057452502,0.294223399,0.010622108,0.008886693,0.006836272,0.000402325,5.61175E-05,1.566744,89.470588,46280,55222.17647,11.36,2,66,48,414605.8824,1045.882353,0.271187475
143,4,Queens,81,QN76,Baisley Park,31475.18525,44042883.84,30777,4,0,3,11.0982659,0,0,0,0,0,3830.491643,0.487309071,14230218.22,0.085522524,0.401786547,0.003039941,0.012582329,0.003246266,0.003434014,0.001547141,1.529501,91.384375,59138,68453.1875,12.33,1,233,84,395246.875,1181.28125,0.239701839
144,4,Queens,81,QN01,South Jamaica,32122.55209,39971928.88,22776,6,0,26,111.0701922,1,1875,0,650,0,3675.47752,0.57562334,8831406.113,0.109259945,0.468451434,0.004853359,0.013441292,0.005305597,0.020104336,0.010120761,1.751174,87.575862,49265,61121.72414,16.71,3,309,118,400741.3793,1061.413793,0.258538579
145,4,Queens,81,QN55,South Ozone Park,36709.124,82466322.94,39121,21,11,7,24.1895302,0,0,0,0,0,3656.045328,0.542730582,862627.3884,0.103253708,0.439476874,0.006905307,0.028338017,0.020285012,0.002424352,0.000901833,1.561512,91.390698,55846,66274.13954,11.49,17,407,182,442646.5116,1173.465116,0.252149909
146,4,Queens,81,QN56,Ozone Park,24733.07595,25028558.36,20935,6,13,0,0,1,1227,0,424,0,3551.967413,0.587968114,214180.3776,0.107683647,0.480284467,0.006551675,0.028883365,0.005285115,0.015274302,0.00767519,1.718023,94.3,51515,62121.83333,13.25,6,150,61,471100,1185,0.276038785
147,3,Brooklyn,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,92269.46924,69328952.83,27342,17,0,0,0,0,0,0,0,0,5049.066512,0.502370276,95542.89585,0.102868672,0.399501604,0.01451005,0.041713198,0.027775533,0.001183405,0.001916785,1.573342,85.842424,72418,83111.36364,6.35,7,200,144,493900,1153.272727,0.191102664
148,5,Staten Island,85,SI54,Great Kills,66118.13009,89601892.16,27449,6,4,1,2.247254136,0,0,0,0,0,7268.948025,0.262942216,2469582.814,0.028777777,0.234164439,0.004180041,0.009586969,0.000405985,0.000517257,1.10686E-05,1.302196,88.98125,80724,95160.9375,4.44,3,141,49,488656.25,1119.625,0.166438522
149,5,Staten Island,85,SI11,Charleston-Richmond Valley-Tottenville,84931.54642,145851676.8,16442,6,13,3,5.314672926,0,0,0,0,0,18953.60941,0.135059724,71746.82613,0.036333518,0.098726206,0.004178581,0.010087553,0.001674696,0.00310485,0.002991422,1.152636,92.3375,76853,90107,3.9,1,88,34,506537.5,1108.75,0.173123841
150,5,Staten Island,85,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,71277.87844,140799171.9,35283,8,6,3,6.088052463,3,1229,178.5021008,439.333333,1374.333333,12975.36587,0.173343358,54321.82376,0.021994803,0.151348555,0.007012542,0.001697831,9.21623E-05,0.000151425,0,1.168853,93.7,83608,99908.47368,4.18,0,96,42,537663.1579,1066.789474,0.153112542
151,5,Staten Island,85,SI32,Rossville-Woodrow,33239.33883,64959666.39,21139,8,0,0,0,0,0,0,0,0,8547.649516,0.293400908,406219.4558,0.01542837,0.277972538,0.00221178,0.005148851,0.00082953,0.002520534,0.00014432,1.420939,93.37,81087,93367.9,4.21,1,50,23,523000,1074,0.158940397
152,3,Brooklyn,47,BK19,Brighton Beach,21058.80934,17181121.93,33967,22,11,5,14.25923285,1,1139,0,393,0,7888.034288,0.98044229,111038.3551,0.169394752,0.811047539,0.093998718,0.037050824,0.01013371,0.003252408,0.000448952,7.083905,91.01,42715,60404.85,20.1,4,133,18,410570,964.8,0.271040104
153,3,Brooklyn,47,BK29,Bensonhurst East,33920.67693,35776108.82,50909,15,13,3,8.85244374,2,1141.5,51.61879503,411,512,3253.248414,1.103385539,68986.05355,0.163109801,0.94106005,0.031222871,0.051158849,0.008108724,0.003068121,0.005283902,3.18165,89.084211,41385,57795.92105,16.46,33,227,50,622421.0526,1007.684211,0.292186387
154,2,Bronx,5,BX08,West Farms-Bronx River,17463.66271,15081849.85,26012,4,4,5,11.24796131,3,1031.333333,110.9609541,352.333333,721.333333,4056.573629,1.508646178,66912.20945,0.180382734,1.328263444,0.010354124,0.051215936,0.009778107,0.003758576,0.007453709,11.140009,93.4125,33550,42862.125,32.47,6,98,11,351812.5,967.625,0.346097314
155,2,Bronx,5,BX75,Crotona Park East,24754.75969,16316221.11,29014,3,7,1,2.681422617,3,1087.666667,107.3607625,360,1036,6941.377451,1.32547704,157143.2727,0.413592191,0.911884849,0.140141305,0.07103655,0.034806078,0.055466614,0.047987782,7.156046,89.136364,22609,33175.13636,38.85,3,61,4,386800,821.727273,0.436151327
156,3,Brooklyn,47,BK60,Prospect Lefferts Gardens-Wingate,29580.51288,31643193.16,52841,72,10,4,10.74787282,4,1155.25,75.68520331,396.5,448.333333,4520.208937,1.627623102,394838.4581,0.383978699,1.242368941,0.062907903,0.071012295,0.01962607,0.013732972,0.004975051,5.742502,92.225,37770,49478.16667,20.85,14,364,58,468080.5556,952.888889,0.302746687
157,3,Brooklyn,47,BK99,park-cemetery-etc-Brooklyn,394300.7228,228970412.9,91297,5,4,0,0,1,1178,0,402,0,2709579.804,0.075481689,203267.3241,0.074853616,0.000628074,0.003733668,0.000163039,0.000447442,0.001498163,0.002327349,1.922619,85.241975,47919,60152.98765,14.56,2,44,6,440938.2716,959.91358,0.240385468
158,3,Brooklyn,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,91064.63692,63343337.72,50123,81,3,9,27.68053407,2,1428,356.3818177,497,13122,4755.433993,0.799454051,1552922.829,0.142123153,0.657330898,0.032233188,0.04051667,0.013526746,0.003219419,0.001090088,2.899102,84.947059,51427,66727.61765,13.96,27,316,188,463938.2353,997.617647,0.232783898
159,3,Brooklyn,47,BK25,Homecrest,27514.02311,29991967.49,44076,32,2,3,10.09091433,0,0,0,0,0,3410.807971,1.255149073,312309.5424,0.200464281,1.056680791,0.055918084,0.077190332,0.011386591,0.003724915,0.001833068,3.215839,87.4,43556,58905.68571,14.68,16,209,30,578268.5714,1053.714286,0.290307409
160,2,Bronx,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,91003.48775,88574289.13,26236,15,0,1,3.370769302,2,1191.5,74.24621202,404,1682,8391.206913,0.330304626,764401.4391,0.053902252,0.276402374,0.010554914,0.009098135,0.00088859,0.000997242,0.000111163,2.17319,92.972727,54637,63068.04546,14.43,11,494,78,392286.3636,1050,0.230614489
161,4,Queens,81,QN49,Whitestone,56927.91495,69043735.19,28924,6,0,0,0,1,1382,0,471,0,10924.58281,0.251654444,496330.2174,0.044308597,0.207345847,0.007280546,0.012765963,0.001923285,0.004116531,0.004268535,1.599824,94.847059,72090,86072.64706,6.23,4,113,79,569511.7647,1483.470588,0.246938039
162,3,Brooklyn,47,BK21,Seagate-Coney Island,51802.47821,38727121.38,29634,3,1,18,44.34111869,1,1133,0,351,0,13812.32954,0.410918955,90162.74143,0.090789399,0.320129556,0.017794577,0.026625543,0.006493606,0.007172126,0.00406503,5.355395,94.89375,33793,44866.6875,25.79,3,53,14,332400,759.6875,0.269767407
163,3,Brooklyn,47,BK23,West Brighton,14114.53705,8745781.953,22211,11,7,0,0,2,1249.5,70.00357134,444,450,79036.93671,1.800479763,105045.9295,0.24640282,1.554076943,0.136959518,0.053562843,0.000343374,2.43437E-05,0.001351715,124.746835,93.307692,37364,49047.30769,22.51,0,12,1,392176.9231,850.153846,0.27303833
164,3,Brooklyn,47,BK26,Gravesend,39922.76297,31341299.42,26920,6,11,13,35.30351438,1,1275,0,465,0,7517.202226,0.635435392,29667.20049,0.119407226,0.515175728,0.052595761,0.025933777,0.008585882,0.005559649,0.005489307,4.029889,89.658824,40756,56075.82353,15.16,10,93,53,550417.6471,954.058824,0.280910504
165,2,Bronx,5,BX37,Van Nest-Morris Park-Westchester Square,42861.77134,36303791.24,42694,8,3,1,3.182418076,0,0,0,0,0,5124.018357,0.951195648,396499.1382,0.455682663,0.495512985,0.215375105,0.044959525,0.042775296,0.025470791,0.022090245,2.707971,93.488235,44929,51951.64706,19.27,70,393,57,377717.6471,1028.5,0.274700802
166,2,Bronx,5,BX59,Westchester-Unionport,26557.40898,23945209.56,29200,11,4,0,0,0,0,0,0,0,4711.616877,0.942567173,210927.6627,0.297004174,0.645562999,0.057932415,0.03307782,0.027912518,0.027222194,0.054271758,3.058824,93.61,41610,49932.75,23.23,11,188,9,387495,1011.75,0.291784328
167,5,Staten Island,85,SI25,Oakwood-Oakwood Beach,44304.2011,55951867.55,18379,9,5,0,0,0,0,0,0,0,10900.13392,0.173726102,1349137.833,0.015269114,0.158456988,0.001290656,0.003202881,4.35014E-05,3.98879E-05,0,1.339646,87.016667,73892,88728.33333,4.08,1,53,31,475125,1147.333333,0.186325569
168,1,Manhattan,61,MN17,Midtown-Midtown South,27035.73836,30192067.9,85837,310,141,4,12.0440748,3,1190.333333,68.98067362,388.333333,2144.333333,9622.018738,12.94209862,66950.41845,11.64087932,1.301219302,8.42455595,1.26378718,0.207841318,0.369812592,0.034703851,28.271696,79.527027,74584,118323.2703,10.47,7,175,10,424910.8108,597.72973,0.096170703
169,1,Manhattan,61,MN20,Murray Hill-Kips Bay,23134.26825,14465837.11,60159,295,17,0,0,1,1108,0,369,0,8258.136251,6.751806267,82811.07165,3.912891852,2.838914413,2.666333621,0.274533246,0.146610559,0.020529362,0.001106933,32.971098,88.266667,88679,130859.5556,9.27,6,132,11,540316.6667,716.5,0.096956803
170,3,Brooklyn,47,BK68,Fort Greene,19828.47506,16482895.93,28790,45,21,1,3.887612653,2,1473,492.1463197,510.5,40044.5,5441.84795,1.876416977,103820.8455,0.79019807,1.0895323,0.20618872,0.129585915,0.06243104,0.036817212,0.019395468,6.78551,87.75,54748,72968.22727,16.94,13,96,12,344681.8182,1117.5,0.244941065
