FID,OID_1,lon,lat,time,content,tags,FID_1,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area
30,"2,148",-73.910251000000002,40.655777000000000,Thu Nov 13 17:22:05 +0000 2014,@QuikWest lol I tried.,[],4,3,Brooklyn,047,BK96,Rugby-Remsen Village,"30,957.853411200002000","32,706,946.251400001000000"
31,"2,167",-73.910276999999994,40.655760999999998,Thu Nov 13 17:27:13 +0000 2014,@QuikWest lmao. I don't have enough skully's to last,[],4,3,Brooklyn,047,BK96,Rugby-Remsen Village,"30,957.853411200002000","32,706,946.251400001000000"
32,"2,215",-73.910201000000001,40.655737000000002,Thu Nov 13 17:42:19 +0000 2014,She a tout if she listened â€œ@TriumphantTao: I seen one woman tell another woman not to speak to me on here....â€,[],4,3,Brooklyn,047,BK96,Rugby-Remsen Village,"30,957.853411200002000","32,706,946.251400001000000"
33,647,-73.860618000000002,40.690801000000000,Sun Nov 09 04:12:29 +0000 2014,Don't know how to act tmrw ðŸ˜±,[],6,4,Queens,081,QN53,Woodhaven,"28,070.585548399999000","37,001,316.627599999000000"
34,656,-73.851973000000001,40.682715999999999,Sun Nov 09 04:14:31 +0000 2014,#ibowtie #75mashup #instafeed #partyturnupturnup @ Marquise Majestic http://t.co/AH8rew7SsI,"['ibowtie', '75mashup', 'instafeed', 'partyturnupturnup']",6,4,Queens,081,QN53,Woodhaven,"28,070.585548399999000","37,001,316.627599999000000"
35,"1,041",-73.867259000000004,40.687874000000001,Sun Nov 09 05:36:57 +0000 2014,"#NW The Purge : Anarchy. For 12 hours, everything is legal ... EVEN MURDER !",['NW'],6,4,Queens,081,QN53,Woodhaven,"28,070.585548399999000","37,001,316.627599999000000"
36,"1,067",-73.849953999999997,40.694220999999999,Sun Nov 09 05:42:13 +0000 2014,Bumping Troy ave crazy,[],6,4,Queens,081,QN53,Woodhaven,"28,070.585548399999000","37,001,316.627599999000000"
37,"1,075",-73.849980000000002,40.694198999999998,Sun Nov 09 05:42:44 +0000 2014,It's all about the motherfucking money,[],6,4,Queens,081,QN53,Woodhaven,"28,070.585548399999000","37,001,316.627599999000000"
38,"1,114",-73.849874999999997,40.694262000000002,Sun Nov 09 05:44:43 +0000 2014,Baking soda I got baking soda !,[],6,4,Queens,081,QN53,Woodhaven,"28,070.585548399999000","37,001,316.627599999000000"
39,"1,237",-73.855867000000003,40.689321000000000,Tue Nov 11 15:13:08 +0000 2014,Abt to be my 10 year anni being a POT HEAd #whataTURNON,['whataTURNON'],6,4,Queens,081,QN53,Woodhaven,"28,070.585548399999000","37,001,316.627599999000000"
40,407,-73.957465999999997,40.608274999999999,Sun Nov 09 03:31:39 +0000 2014,"Theory of Everything'i izledim, gerÃ§ek hikayeden uyarlamanÄ±n son derece baÅŸarÄ±lÄ± bir Ã¶rneÄŸi olmuÅŸ, rahat, dÃ¼z, keyifli bi film.",[],7,3,Brooklyn,047,BK44,Madison,"26,237.257341000000000","27,379,161.997800000000000"
41,"2,120",-73.949217000000004,40.612305999999997,Thu Nov 13 17:08:34 +0000 2014,Anybody know a cleaners that only charge a $1 a shirt ðŸ˜”,[],7,3,Brooklyn,047,BK44,Madison,"26,237.257341000000000","27,379,161.997800000000000"
42,355,-73.873489000000006,40.757897000000000,Sun Nov 09 03:27:33 +0000 2014,"Te siento, te toco,  te veo, en mis pensamientos, logras hacer q un segundo contigo se vuelva una eternidad de sensaciones",[],12,4,Queens,081,QN27,East Elmhurst,"19,816.712061599999000","19,726,845.777100001000000"
43,362,-73.871741000000000,40.758437000000001,Sun Nov 09 03:24:57 +0000 2014,"Ay mi cielo! Como son tus palabras para mi
Tu ya pasaste de ser importante a convertirte en mi vida entera
Quisiera estar siempre junto a ti",[],12,4,Queens,081,QN27,East Elmhurst,"19,816.712061599999000","19,726,845.777100001000000"
44,895,-73.867189999999994,40.767274000000000,Sun Nov 09 05:06:59 +0000 2014,@L7CHICK1 sometimes I have my moments,[],12,4,Queens,081,QN27,East Elmhurst,"19,816.712061599999000","19,726,845.777100001000000"
45,"1,026",-73.868122999999997,40.769193000000001,Sun Nov 09 05:32:56 +0000 2014,"Two albums that hit me ghs hardest emotionally were 808s and Heartbreak and Here, my dear... breakups",[],12,4,Queens,081,QN27,East Elmhurst,"19,816.712061599999000","19,726,845.777100001000000"
46,74,-73.914859000000007,40.666223000000002,Sun Nov 09 02:27:09 +0000 2014,@AnthonyCPaul Happy birthday,[],13,3,Brooklyn,047,BK81,Brownsville,"27,300.781233000002000","32,730,861.109099999000000"
47,217,-73.923623000000006,40.666666999999997,Sun Nov 09 02:57:39 +0000 2014,Fake people* RT @famouskillake: When shit get real people get ghost,[],13,3,Brooklyn,047,BK81,Brownsville,"27,300.781233000002000","32,730,861.109099999000000"
